STT,Nhom Thiet Bi,Dia Chi PLC,Ky Hieu (Symbol Tag),Hang San Xuat (OEM),Ma Dat Hang (Part Number),Ma Tuong Duong Du Phong,Dai Do / Thong So Ky Thuat,Tin Hieu / Dien Ap,Ren / Ket Noi Co Khi & Giac Dien,Chuc Nang Ky Thuat
11,Cam Bien Ap Suat,PIW 256,Pressure_HD-Pump,TRAFAG,NAH 8254.83.2517.04,Hydac HDA 4745-A-400 / WIKA HP-2,0 - 400 bar (Nuoc ap luc cao mang Inox 1.4542),4 - 20 mA,Ren G 1/4" Female / Giac M12x1 4-Pin,Do ap luc ngo ra bom nuoc piston cao ap xoi rua dia cat
12,Cam Bien Ap Suat,PIW 374,SlurryChamber_Pres,KELLER,PA-21Y / 10bar / 81645,WIKA S-11 (Mang phang) / E+H PMC131,0 - 10 bar (Mang Flush Diaphragm chong bun bam),4 - 20 mA,Ren G 1/2" Mang phang / Giac M12 4-Pin,Do ap luc can bang dat trong buong dao bun bentonite
13,Cam Bien Ap Suat,PIW 376,SlurryDischarge_Pres,KELLER,PA-21Y / 10bar / 81645,Trafag NAT 8252.74 / WIKA S-11,0 - 10 bar (Mang Flush chong mai mon cat),4 - 20 mA,Ren G 1/2" Mang phang / Giac M12 4-Pin,Do ap suat duong ong bun thai hut ra khoi buong dao
14,Cam Bien Ap Suat,PIW 334,SlurryCharge_Pres,KELLER,PA-21Y / 10bar / 81645,Trafag NAT 8252.74 / WIKA S-11,0 - 10 bar,4 - 20 mA,Ren G 1/2" Mang phang / Giac M12 4-Pin,Do ap suat duong ong bun nap bentonite sach vao buong dao
15,Cam Bien Ap Suat,PIW 372,PresSens_CaseDrain,HYDAC,HDA 4745-A-010-000,Trafag NAT 8252.74 / Keller 21Y,0 - 10 bar (Do phan giai cao +-0.1%),4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Cam bien ap luc dau ro ri (Leckol) goi truc dia cat
16,Cam Bien Ap Suat,PIW 294,PresSens_DrainNachl,HYDAC,HDA 4745-A-010-000,Trafag NAT 8252.74,0 - 10 bar,4 - 20 mA,Ren G 1/4" / Giac M12x1 4-Pin,Cam bien ap luc dau ro ri cum may keo Nachlaufer
17,Cam Bien Ap Suat,PIW 308,FeedingFilter_Pres,HYDAC,HDA 4344-A-010-000,Hydac VD 5 D.0 /-L24 / Trafag DPS 8510,0 - 10 bar Delta-P (Chenh ap mang doi),4 - 20 mA,Ren 2x G 1/4" / Giac DIN Form A,Giam sat do nghet phin loc dau nap thuy luc Container
18,Cam Bien Ap Suat,PIW 292,ReturnFilter_Head,HYDAC,VD 5 D.0 /-L24,Hydac VR 2 D.0 /-L24,Delta-P > 3.0 bar,Digital NO/NC 24VDC,Ren G 1/2" / Giac DIN 43650,Cong tac bao nghet phin loc duong hoi dau khien
19,Cam Bien Hanh Trinh,PIW 356,StrokeSensor_Cyl1,NOVOTECHNIK,LWH-0200,Gefran LT-M-0200-S / Temposonics MH 200mm,0 - 200 mm (Tuyen tinh +-0.05% FS IP67),0 - 10 VDC / 4 - 20 mA,Khop cau tu lua M5 / Giac M12 4-Pin,Do chinh xac hanh trinh tho/thut xi lanh be lai so 1
20,Cam Bien Hanh Trinh,PIW 358,StrokeSensor_Cyl2,NOVOTECHNIK,LWH-0200,Gefran LT-M-0200-S / Temposonics MH 200mm,0 - 200 mm (Tuyen tinh +-0.05% FS IP67),0 - 10 VDC / 4 - 20 mA,Khop cau tu lua M5 / Giac M12 4-Pin,Do chinh xac hanh trinh tho/thut xi lanh be lai so 2
21,Cam Bien Hanh Trinh,PIW 360,StrokeSensor_Cyl3,NOVOTECHNIK,LWH-0200,Gefran LT-M-0200-S / Temposonics MH 200mm,0 - 200 mm (Tuyen tinh +-0.05% FS IP67),0 - 10 VDC / 4 - 20 mA,Khop cau tu lua M5 / Giac M12 4-Pin,Do chinh xac hanh trinh tho/thut xi lanh be lai so 3
22,Cam Bien Hanh Trinh,PIW 336,Way_Inter1,ASM SENSOR,WS10-1250-420A-L10-M4,Novotechnik F200-1250 / Micro-Epsilon WDS,0 - 1250 mm (Day keo ruot thep Draw-wire IP67),4 - 20 mA (2 day),Cap thep boc Nylon d0.9mm / Giac M12 4-Pin,Do do mo rong tram kich trung gian Dehner 1
23,Cam Bien Hanh Trinh,PIW 344,Way_Inter2,ASM SENSOR,WS10-1250-420A-L10-M4,Novotechnik F200-1250 / Micro-Epsilon WDS,0 - 1250 mm (Day keo ruot thep Draw-wire IP67),4 - 20 mA (2 day),Cap thep boc Nylon d0.9mm / Giac M12 4-Pin,Do do mo rong tram kich trung gian Dehner 2
24,Cam Bien Hanh Trinh,PIW 380,Way_Inter3,ASM SENSOR,WS10-1250-420A-L10-M4,Novotechnik F200-1250 / Micro-Epsilon WDS,0 - 1250 mm (Day keo ruot thep Draw-wire IP67),4 - 20 mA (2 day),Cap thep boc Nylon d0.9mm / Giac M12 4-Pin,Do do mo rong tram kich trung gian Dehner 3
25,Cam Bien Do Nghieng,PIW 370,Inclinometer_mts,SEIKA MIKROSYSTEME,NG3I / 4-20mA / +-30Deg,Turck B2N60H-Q20L60 / Kubler IN88,+-30.0 do (Goc xoay Roll do phan giai <0.001 do),4 - 20 mA (12mA = 0.0 do),Vo dong thau duc kin IP68 chiu ngap 10 bar,Do goc xoay nghieng quanh truc doc than khien (Roll) dieu khien canh Wing
26,Cam Bien Do Nghieng,PIW 332,mts_Neigung,SEIKA MIKROSYSTEME,NG3I / 4-20mA / +-30Deg,Turck B2N60H-Q20L60 / Kubler IN88,+-30.0 do (Goc doc Pitch do nghieng truc doc),4 - 20 mA (12mA = 0.0 do),Vo dong thau duc kin IP68 chiu ngap 10 bar,Do do doc len/xuong cua than khien dieu khien lai cao do
27,Cam Bien Luu Luong,PIW 420,Chargeline,KROHNE,OPTIFLUX 4300 C / DN150,Endress+Hauser Promag 55S / Siemens MAG 5100W,0 - 500 m3/h (Lop lot Hard Rubber chong cat, dien cuc Hastelloy C4),4 - 20 mA + Hart + Pulse,Mat bich DN150 PN16 / Sensor IP68,Luu luong ke dien tu do the tich bun nap sach vao buong dao
28,Cam Bien Luu Luong,PIW 422,Dischargeline,KROHNE,OPTIFLUX 4300 C / DN150,Endress+Hauser Promag 55S / Siemens MAG 5100W,0 - 500 m3/h (Lop lot Hard Rubber chong mai mon cat soi),4 - 20 mA + Hart + Pulse,Mat bich DN150 PN16 / Sensor IP68,Luu luong ke dien tu do the tich bun thai lan dat da hut ra ngoai
29,Cam Bien Luu Luong,PIW 258,Flow_HD-Pump,IFM ELECTRONIC,SI5000 / SID10ADBFPKG/US-100,E+H DTI200 / Turck FCS-G1/2,0 - 100% (Dong chay 3..300 cm/s nhiet dong calorimetric),4 - 20 mA (hoac PNP),Ren G 1/2" Inox 316L / Giac M12x1 4-Pin,Giam sat luu luong nuoc cap lam mat va moi cho bom piston 400 bar
30,Cam Bien Luu Luong,I 16.0,Flow_HD-Switch,BEDIA CABLE,CLS-40 / 421575,IFM SI5004,Digital NC (Mo khi mat dong chay nuoc),18 - 32 VDC,Ren G 1/2" / Giac M12 4-Pin,Khoa lien dong bao ve ngat bom cao ap khi hut nuoc nguon
31,Nhiet Do & Do Am,PIW 404,OilTempSens_PP,HYDAC,ETS 4144-A-000,WIKA TR10-C (Pt100) / Trafag TBN 8253,-20 den +100 do C (Pt1000 Class A),4 - 20 mA,Ren G 1/2" Inox / Giac DIN Form A,Do nhiet do dau thuy luc be chua Container tram nguon
32,Nhiet Do & Do Am,PIW 288,OilTempSens_Head,HYDAC,ETS 4545-A-000,WIKA TR10-C / Trafag TBN 8253,-20 den +100 do C (IP67),4 - 20 mA,Ren G 1/4" / Giac M12 4-Pin,Do nhiet do dau thuy luc trong khien dao mam cat
33,Nhiet Do & Do Am,PIW 408,HumOil_PP,HYDAC,AS 1008-C-000,Vaisala MM70 / Parker AquaSensor,0 - 100% Saturation (Do bao hoa nuoc trong dau),4 - 20 mA,Ren G 3/8" / Giac M12x1 5-Pin,Giam sat chat luong dau, phat hien ro ri nuoc ngam vao be dau
34,Phao Muc Dau,I 12.0,OilLevel_Cont_Low,HYDAC,FS-127-1.0-O-L24,Barksdale UDA-3 / Bedia PLS-40,Digital NC (Mo khi can dau duoi vach do),24 VDC 0.5A Reed Switch,Bat bich canh be dau (co ong thuy),Phao bao can day dau thuy luc tram nguon Container
35,Phao Muc Dau,I 1.2,OilLevel_Cont_Mid,HYDAC,FS-127-1.0-O-L24,Barksdale UDA-3,Digital NO (Dong khi dau dat muc an toan),24 VDC 0.5A Reed Switch,Bat bich canh be dau,Phao bao muc dau trung binh an toan Container
36,Phao Muc Dau,I 6.1,OilLevel_Head_Low,BEDIA,PLS-40 / 421580,IFM LMC100,Dien dung Capacitive chong bam dau gia,Digital PNP NC (24VDC),Ren M18x1.5 Inox / Giac M12 4-Pin,Phao dien dung bao can dau goi do cum dau khien IP68
37,Dinh Vi & Laser,FC80 / DB19,Laser TACS Target,TACS GmbH,ELS-Target 200 / ELS-26617,mts Laser Target,Vung bat tia +-100mm x +-100mm (Do chinh xac +-0.1mm),RS485 / Profibus-DP,Giac tron kim loai chiu nuoc IP67,Thu nhan tia laser tu tram may gieng kich, tinh toan do lech tim ham dX, dY
38,Do Chieu Dai,FC35 / I 0.0,Langenvortrieb Wheel,KUBLER,Sendix 5000 / 8.5000.8354.1000,Heidenhain ROD 426 / Baumer BDK,1000 Xung/vong (PPR) Incremental Encoder HTL,10 - 30 VDC Push-Pull,Truc d10mm + Banh xe cao su chu vi 500mm IP67,Banh xe lan ti len thanh ong be tong phat xung dem chieu dai kich ham
39,Van Ty Le,PQW 264,JacksSpeed_Ampl,BOSCH REXROTH,4WRE 10 E60-2X/G24K4/V,Parker D3FB01FC4NF00 / Moog D633-313B,Van ty le 4/3 tich hop OBE (Luu luong 60 L/min, 350 bar),0 - 10 VDC (0 - 27648),Ren bích CETOP 5 / Giac 6+PE,Dieu chinh vo cap van toc hanh trinh kich day chinh
40,Van Ty Le,PQW 266,JacksPres_Ampl,BOSCH REXROTH,DBETR-1X/315G24K4V,Parker RE06M35W2N1KW / Atos RZMO,Van xa ap ty le 0 - 315/400 bar,0 - 10 VDC,Ren bích NG6 / CETOP 3,Dieu chinh vo cap ap luc nen cua tram kich chinh
41,Van Ty Le,PQW 268,CutterSpeed_Ampl,BOSCH REXROTH,VT-VRPA1-100-1X/ (Amplifier Card),Rexroth A4VG swashplate coil,Card khuech dai goc nghieng dia bom A4VG (Dong ra 0-800mA),0 - 10 VDC input,Gan thanh ray DIN Rail trong tu dien,Dieu toc vo cap vong quay mam cat Schurfrad (0 - 6 RPM)
42,Van Dien Tu,Q 16.2 / Q 17.2,JacksAdv_K6.1/K7.1,BOSCH REXROTH,4WE 10 E5X/EG24N9K4,Yuken DSG-03-3C2-D24 / Vickers DG4V-5,Van truot 4/3 tam dong Size 10 NG10 (CETOP 5, 315 bar, 120 L/min),24 VDC / 30W co LED,Giac DIN EN 175301-803,Van dong mo mach dau kich tien ben trai / phai
43,Van Dien Tu,Q 16.0 / Q 17.0,JacksRet_K6.2/K7.2,BOSCH REXROTH,4WE 10 E5X/EG24N9K4,Yuken DSG-03-3C2-D24 / Vickers DG4V-5,Van truot 4/3 Size 10 NG10 (CETOP 5),24 VDC / 30W co LED,Giac DIN EN 175301-803,Van dong mo mach dau thu kich lui ben trai / phai
44,Van Dien Tu,Q 16.1 16.3 17.1,Dehner1..3_K10..K12,BOSCH REXROTH,4WE 6 D6X/EG24N9K4,Yuken DSG-01-2B2-D24 / Parker D1VW,Van truot 4/2 Size 6 NG6 (CETOP 3, 350 bar),24 VDC / 30W,Giac DIN co den LED,Van dong mo cap dau day cac tram kich trung gian Dehner 1..3
45,Van Dien Tu,Q 53.0 .. Q 53.5,SteeringValves_1..6,BOSCH REXROTH,4WE 6 E6X/EG24N9K4,Yuken DSG-01-3C2-D24,6 cuon van truot 4/3 NG6 dieu khien 3 xi lanh lai 120 do,24 VDC IP67,Giac M12 co den LED,Van dieu khien tho/thut 3 xi lanh be khop lai dau khien
46,Van Dien Tu,Q 51.4 / Q 51.5,ValveWing_Out/In,BOSCH REXROTH,4WE 6 D6X/EG24N9K4,Parker D1VW001CNJW,Van truot 4/2 NG6 chiu ap 350 bar,24 VDC IP67,Giac M12 co LED,Van bung / thu canh thep chong xoay than khien (Wing)
47,Van Dien Tu,Q 51.2 51.3 51.6,HD_Valves_1..4,COAX VALVES,HPB 15 / 500bar / 24VDC,Muller Co-ax MK 15 NC / WOMA Valve,Van dong ngat nuoc cao ap Coaxial Valve 500 bar (Dong mo <50ms),24 VDC IP68,Ren G 1/2" Inox,4 van dien tu dong mo 4 cum bec phun tia nuoc cao ap mat guong
48,Dong Co Dien,FC14 / DB25,Cutterhead Motor,LEROY-SOMER / SIEMENS,FLSD 315 M - 4P / 1LG6 313-4AA,ABB M3BP 315 / WEG W22,132 kW / 160 kW (1480 RPM, 240A Tam giac, Class H, IP55, PTC),400V / 690V (50 Hz),Chan de bích B3/B5,Dong co dien chinh keo cum bom thuy luc quay mam cat dao dat
49,Dong Co Dien,FC13 / Q 1.0,Main Jacks Pump Motor,SIEMENS,1LE1501-3AA23-4AA4 (Simotics GP),ABB M2BAX / Leroy-Somer,110 kW / 132 kW (1485 RPM, IE3 Hieu suat cao, 198A),400V / 50 Hz,Sao - Tam giac,Dong co dien keo cum bom nguon thuy luc cho tram kich chinh
50,Bom Cao Ap,FC90 / Q 48.0,High Pressure Pump,SPECK TRIPLEX / HAMMELMANN,P55/100-400 / HDP 70,WOMA 1502 / Uraca,400 bar (Luu luong 100 L/min, dong co keo 45 kW, Piston gom Ceramic),400V 3 Pha / 50 Hz,Dau bom Inox 1.4571,Cum bom piston nen nuoc sieu ap xoi rua dia cat
51,Bec Phun,FC91 / Bec 1..4,HP Water Jet Nozzles,LECHLER,065.244.30 (Flat Fan 400 bar),Lechler Solid Stream / WOMA Nozzle,400 bar (Goc phun 30 do hoac 0 do, Loi hop kim Carbide / Sapphire),Ap luc 400 bar,Ren 1/4" NPT Male,4 dau bec phun nuoc ap luc cao got vun dat set dinh bet
52,Bien Tan VFD,FC112 / DB112,Slurry Pumps VFD,SCHNEIDER ELECTRIC,ATV71HD37N4 / ATV630D45N4,Siemens G120 / ABB ACS880,37 kW / 45 kW (Dong 75A, tich hop Card Profibus VW3A3307, DC Choke),380 - 480V 3 Pha,Ip21 / Lap tu dien,Dieu khien vo cap luu luong bom cap va bom thai bun bentonite
53,SmartWire-DT,DP Addr 1,SmartWire-DT Gateway,EATON (MOELLER),EU5C-SWD-DP / 116309,Eaton SWD Master,Gateway chuyen doi Profibus-DP sang cap det SmartWire-DT 8-Pin (12 Mbps),Profibus-DP (Sub-D 9-Pin),SmartWire 8-Pin Ribbon,Cau noi truyen thong giua CPU S7-300 va toan bo ro le dong co PKE
54,Khoi Dong Dien Tu,FC110 / DB31,Motor Starter PKE,EATON (MOELLER),PKE32/XTU-32 + PKE-SWD-32 (126408),Eaton ZEB,Dai chinh dong 8.0 - 32.0 A (Doc dong Ampe, % nhiet, trang thai Contactor),Cap det SmartWire-DT,Gan DIN Rail tu dien,Khoi dong thong minh va do dong dien cac dong co bom phu, quat lam mat
55,Khoi Dong Dien Tu,FC110 / DB31,Motor Starter Heavy,EATON (MOELLER),PKE65/XTU-65 + PKE-SWD-65,Eaton PKE,Dai chinh dong 16.0 - 65.0 A (Cap ngat qua tai Class 10/15/20),SmartWire-DT,DIN Rail,Bao ve dong co bom be lai va bom cao ap
56,Aptomat Khoi,FC111 / DB33,Main Breaker MCCB,EATON (MOELLER),NZMN2-ME220 (265780) + NZM-XSWD-704,Siemens 3VA / ABB Tmax XT,Dong dinh muc 220A / 250A (Dong cat 50 kA, do cong suat kWh, dong 3 pha),SmartWire-DT,Khoi MCCB 3 Pha,Aptomat tong cap nguon dong co mam cat 132kW
57,CPU PLC,Rack 0 Slot 2,Central Processing Unit,SIEMENS,6ES7 315-2EH14-0AB0 (CPU 315-2 PN/DP),Siemens S7-300,384 KB RAM (Port 1: MPI/Profibus 12Mbps, Port 2: Profinet 2-Port 100Mbps),24 VDC (0.05us/lenh),Gan tren thanh ray S7-300,Bo vi xu ly trung tam dieu khien toan bo he thong may TBM
58,Nguon 24VDC,Rack 0 Slot 1,Power Supply 24V/20A,SIEMENS,6EP1436-3BA00 (SITOP PSU300M 24V/20A),Siemens SITOP PSU8200 / Phoenix Contact,Nguon vao 3 Pha 400-500VAC, nguon ra 24 VDC / 20A (480W, hieu suat 93%),3 Pha 400VAC -> 24VDC,DIN Rail S7-300,Bo nguon cong nghiep cap nguon toan bo he thong dieu khien PLC
59,The Nho MMC,CPU Slot,Micro Memory Card,SIEMENS,6ES7 953-8LJ30-0AA0 (MMC 512KB),Siemens MMC 2MB / 4MB,512 KB Flash EPROM luu tru chuong trinh STEP 7 va DBs,Gan khe CPU,The nho vi chuong trinh duy tri du lieu khi mat dien
60,Tram I/O Tu Dien,Container DP 7,BL20 Profibus Gateway,TURCK,BL20-GW-DPV1 (Order: 6827234),Turck BL20,Gateway tram Profibus-DP Slave chuan IP20 ghep noi cac module BL20,Profibus DP 12 Mbps,DIN Rail tu dien,Tram thu thap I/O tap trung trong tu dien Container
61,Module Analog,Container Slot,Analog Input 4-Channel,TURCK,BL20-4AI-U/I (Order: 6827017),Turck BL20-4AI,4 kenh Analog da nang (0-20mA, 4-20mA, 0-10V, +-10V) 16-Bit,24 VDC,DIN Rail,Module thu thap tin hieu analog tram nguon Container
62,Tram I/O Dau Khien,Khien Dao DP 5,BL67 Profibus Gateway,TURCK,BL67-GW-DPV1 (Order: 6827214),Turck BL67 IP67,Gateway tram Profibus-DP Slave chuan IP67 duc kin chong nuoc hoan toan,Profibus DP (M12 Sub-D),Bat bulong than khien IP67,Tram thu thap I/O chiu ngap nuoc va bun dat tren dau khien TBM
63,Module Analog IP67,Khien Dao Slot,Analog Input IP67,TURCK,BL67-4AI-U/I (Order: 6827176),Turck BL67,4 kenh Analog Input 16-Bit chuan M12x1 5-Pin duc kin,24 VDC,Module BL67 IP67,Module thu thap tin hieu cam bien ap suat va hanh trinh dau khien
64,Hop I/O Duc Khoi,Khien Dao DP 8,Compact Analog I/O Block,TURCK,SDPB-40A-0005 (Order: 6824049),Turck SDPB IP67,Khoi I/O Profibus duc nguyen khoi Ultra-compact IP67 (4 AI 4-20mA M12),Profibus M12 / 24 VDC,Bat truc tiep vach thep khien,Hop I/O doc lap ket noi truc tiep cam bien 3 xi lanh lai 120 do
65,Hop I/O Duc Khoi,Khien Dao DP 15,Compact Digital I/O Block,TURCK,SDPB-0404D-0001 / SDPB-0808D-0001,Turck SDPB IP67,Khoi I/O 8 kenh Digital (4DI/4DO hoac 8DI/8DO) chuan M8/M12 IP67,24 VDC M12,Bat vach thep khien,Hop I/O doc lap dieu khien 6 van xi lanh lai va canh chong xoay
